"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"정종 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"정종 ",1,40,4,2,5,0.400,2,5,0.400,"-","-","-","-","-","-",5,4,9,1,4,"-","-",1,"-","-",-10,"-",1.0,14.0,0.400,5.0,0.400,9.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,1.0,9.0,0.0,4.0
0,"제임스 ",1,51,21,10,20,0.500,9,17,0.529,1,3,0.333,"-","-","-",1,8,9,4,3,"-",2,4,"-","-",-7,"-",1.0,25.0,0.525,20.0,0.525,17.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,21.0,4.0,9.0,2.0,3.0
0,"민재 ",1,20,0,0,6,0.000,"-",4,0.000,"-",2,0.000,"-","-","-","-",2,2,"-",2,"-","-","-","-","-",-28,"-","-",-2.0,0.000,6.0,0.000,-1.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,2.0,0.0,2.0
0,"재성 ",1,40,11,5,23,0.217,4,16,0.250,1,7,0.143,"-","-","-",1,"-",1,8,11,1,"-",7,"-","-",-10,"-",1.1,6.0,0.239,23.0,0.239,7.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,11.0,8.0,1.0,0.0,11.0
0,"제프 ",1,50,18,8,22,0.364,6,15,0.400,2,7,0.286,"-","-","-",5,15,20,4,5,1,1,8,"-","-",-9,"-",0.5,26.0,0.409,22.0,0.409,14.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,18.0,4.0,20.0,1.0,5.0
0,"승호 ",1,51,9,4,17,0.235,3,6,0.500,1,11,0.091,"-","-","-","-",4,4,4,1,"-","-",2,"-","-",-33,"-",2.0,3.0,0.265,17.0,0.265,1.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,9.0,4.0,4.0,0.0,1.0
0,"택용 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"태훈 ",1,41,2,1,5,0.200,1,5,0.200,"-","-","-","-","-","-","-",5,5,"-","-","-","-",1,"-","-",-29,"-",0.0,2.0,0.200,5.0,0.200,-0.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,0.0,5.0,0.0,0.0
0,"현빈 ",1,31,7,3,13,0.231,2,5,0.400,1,8,0.125,"-","-","-",3,7,10,"-",4,"-","-",4,"-","-",-30,"-",0.0,7.0,0.269,13.0,0.269,3.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,7.0,0.0,10.0,0.0,4.0
0,"상백 ",1,41,0,0,4,0.000,"-",4,0.000,"-","-","-","-","-","-",1,1,2,"-","-","-","-",4,"-","-",-29,"-",0.0,-6.0,0.000,4.0,0.000,-5.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,2.0,0.0,0.0
0,"세훈 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"토마스초 ",1,40,6,2,14,0.143,"-","-","-",2,14,0.143,"-","-","-",3,3,6,3,3,1,"-",3,"-","-",-10,"-",1.0,3.0,0.214,14.0,0.214,2.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,3.0,6.0,0.0,3.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,78,35,129,0.271,27,77,0.351,8,52,0.154,"-","-","-",19,49,68,24,33,3,3,34,"-","-",-39,"-",0.7,78.0,0.302,129.0,0.302,47.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,78.0,24.0,68.0,3.0,33.0
