"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"정종  (가짜) ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"정종  ",1,41,4,2,2,1.000,2,2,1.000,"-","-","-","-","-","-",1,6,7,1,3,1,"-",4,"-","-",-23,"-",0.2,11.0,1.000,2.0,1.000,5.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,1.0,7.0,0.0,3.0
0,"제임스 ",1,30,15,7,14,0.500,6,11,0.545,1,3,0.333,"-","-","-","-",9,9,5,"-",1,1,4,"-","-",-8,"-",1.2,19.0,0.536,14.0,0.536,10.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,15.0,5.0,9.0,1.0,0.0
0,"민재 ",1,21,10,4,10,0.400,2,7,0.286,2,3,0.667,"-","-","-",3,1,4,"-",4,"-","-",5,"-","-",-15,"-",0.0,7.0,0.500,10.0,0.500,6.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,10.0,0.0,4.0,0.0,4.0
0,"재성 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"태훈 ",1,31,4,2,12,0.167,2,12,0.167,"-","-","-","-","-","-",3,2,5,1,1,1,"-",5,"-","-",-18,"-",0.2,-4.0,0.167,12.0,0.167,-4.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,1.0,5.0,0.0,1.0
0,"제프 ",1,21,15,7,15,0.467,6,11,0.545,1,4,0.250,"-","-","-","-",1,1,2,6,1,"-",4,"-","-",4,"-",0.5,12.0,0.500,15.0,0.500,11.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,15.0,2.0,1.0,0.0,6.0
0,"택용 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"길현 ",1,21,2,1,9,0.111,1,9,0.111,"-","-","-","-","-","-",6,8,14,2,3,"-",1,1,"-","-",4,"-",2.0,13.0,0.111,9.0,0.111,6.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,2.0,14.0,1.0,3.0
0,"상백 ",1,20,0,0,9,0.000,"-",9,0.000,"-","-","-","-","-","-",1,3,4,2,2,1,"-",1,"-","-",-3,"-",2.0,-2.0,0.000,9.0,0.000,-2.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,2.0,4.0,0.0,2.0
0,"승호 ",1,21,19,8,25,0.320,5,10,0.500,3,15,0.200,"-","-","-",3,3,6,6,2,2,"-",2,"-","-",4,"-",3.0,14.0,0.380,25.0,0.380,11.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,19.0,6.0,6.0,0.0,2.0
0,"세훈 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,69,31,96,0.323,24,71,0.338,7,25,0.280,"-","-","-",17,33,50,19,21,7,2,26,"-","-",-11,"-",0.7,70.0,0.359,96.0,0.359,45.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,69.0,19.0,50.0,2.0,21.0
