"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"제임스 ",1,14,11,5,13,0.385,4,10,0.400,1,3,0.333,"-","-","-",1,3,4,1,"-","-",1,2,"-","-",12,"-",0.5,7.0,0.423,13.0,0.423,4.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,11.0,1.0,4.0,1.0,0.0
0,"정종  ",1,14,2,1,2,0.500,1,2,0.500,"-","-","-","-","-","-",2,2,4,"-",1,"-","-","-","-","-",12,"-","-",6.0,0.500,2.0,0.500,4.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,0.0,4.0,0.0,1.0
0,"민재 ",1,14,0,0,6,0.000,"-",5,0.000,"-",1,0.000,"-","-","-",1,"-",1,"-",3,"-","-","-","-","-",12,"-","-",-2.0,0.000,6.0,0.000,-0.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,1.0,0.0,3.0
0,"승호 ",1,8,10,4,4,1.000,2,2,1.000,2,2,1.000,"-","-","-","-","-",0,"-",1,"-","-",1,"-","-",6,"-",0.0,10.0,1.250,4.0,1.250,8.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,10.0,0.0,0.0,0.0,1.0
0,"재성 ",1,14,9,4,6,0.667,3,5,0.600,1,1,1.000,"-","-","-",1,3,4,4,6,2,"-",3,"-","-",12,"-",1.3,18.0,0.750,6.0,0.750,13.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,9.0,4.0,4.0,0.0,6.0
0,"현빈 ",1,19,6,2,5,0.400,"-",2,0.000,2,3,0.667,"-","-","-","-",3,3,2,2,2,1,2,"-","-",4,"-",1.0,9.0,0.600,5.0,0.600,6.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,2.0,3.0,1.0,2.0
0,"제프 ",1,17,11,5,19,0.263,4,15,0.267,1,4,0.250,"-","-","-",5,1,6,1,2,"-","-",2,"-","-",1,"-",0.5,4.0,0.289,19.0,0.289,4.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,11.0,1.0,6.0,0.0,2.0
0,"태훈 ",1,17,4,2,6,0.333,2,6,0.333,"-","-","-","-","-","-","-",1,1,"-",1,"-","-",2,"-","-",1,"-",0.0,0.0,0.333,6.0,0.333,-0.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,0.0,1.0,0.0,1.0
0,"택용 ",1,17,6,3,12,0.250,3,10,0.300,"-",2,0.000,"-","-","-",5,8,13,2,5,"-",1,1,"-","-",1,"-",2.0,17.0,0.250,12.0,0.250,10.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,2.0,13.0,1.0,5.0
0,"상백 ",1,17,0,0,4,0.000,"-",4,0.000,"-","-","-","-","-","-","-",4,4,2,"-",1,"-",1,"-","-",1,"-",2.0,1.0,0.000,4.0,0.000,-1.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,2.0,4.0,0.0,0.0
0,"토마스초 ",1,4,3,1,4,0.250,"-","-","-",1,4,0.250,"-","-","-","-","-",0,1,2,1,"-","-","-","-",3,"-","-",3.0,0.375,4.0,0.375,3.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,3.0,1.0,0.0,0.0,2.0
0,"세훈 ",1,"-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,62,27,81,0.333,19,61,0.311,8,20,0.400,"-","-","-",15,25,40,13,23,6,3,14,"-","-",13,"-",0.9,73.0,0.383,81.0,0.383,54.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,62.0,13.0,40.0,3.0,23.0
