"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"민재 ",1,60,6,3,10,0.300,3,8,0.375,"-",2,0.000,"-","-","-",1,4,5,2,2,1,"-",4,"-","-",-10,"-",0.5,4.0,0.300,10.0,0.300,1.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,2.0,5.0,0.0,2.0
0,"승호 ",1,61,20,8,22,0.364,4,8,0.500,4,14,0.286,"-","-","-",1,2,3,5,2,1,1,3,"-","-",1,"-",1.7,14.0,0.455,22.0,0.455,12.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,20.0,5.0,3.0,1.0,2.0
0,"재성 ",1,61,27,13,28,0.464,12,18,0.667,1,10,0.100,"-","-","-","-",5,5,10,5,5,"-",3,"-","-",10,"-",3.3,29.0,0.482,28.0,0.482,23.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,27.0,10.0,5.0,0.0,5.0
0,"제임스 ",1,46,18,9,26,0.346,9,26,0.346,"-","-","-","-","-","-",7,11,18,3,"-",1,"-",7,"-","-",11,"-",0.4,15.0,0.346,26.0,0.346,6.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,18.0,3.0,18.0,0.0,0.0
0,"정종 ",1,45,2,1,3,0.333,1,3,0.333,"-","-","-","-","-","-",1,4,5,"-","-",1,1,3,"-","-",23,"-",0.0,3.0,0.333,3.0,0.333,-0.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,0.0,5.0,1.0,0.0
0,"택용 ",1,31,30,15,32,0.469,15,29,0.517,"-",3,0.000,"-","-","-",13,15,28,5,1,5,3,1,"-","-",16,"-",5.0,49.0,0.469,32.0,0.469,32.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,30.0,5.0,28.0,3.0,1.0
0,"태훈 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"세훈 ",1,75,6,3,10,0.300,3,10,0.300,"-","-","-","-","-","-",2,10,12,3,2,"-",1,4,"-","-",14,"-",0.8,13.0,0.300,10.0,0.300,5.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,3.0,12.0,1.0,2.0
0,"제프 ",1,75,16,8,22,0.364,8,20,0.400,"-",2,0.000,"-","-","-",4,4,8,4,7,2,2,4,"-","-",10,"-",1.0,19.0,0.364,22.0,0.364,15.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,16.0,4.0,8.0,2.0,7.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,125,60,153,0.392,55,122,0.451,5,31,0.161,"-","-","-",29,55,84,32,19,16,8,29,"-","-",15,"-",1.1,146.0,0.408,153.0,0.408,96.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,125.0,32.0,84.0,8.0,19.0
