"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"지용 ",1,31,0,0,2,0.000,"-",2,0.000,"-","-","-","-","-","-",1,11,12,4,1,"-",1,2,"-","-",12,"-",2.0,14.0,0.000,2.0,0.000,5.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,4.0,12.0,1.0,1.0
0,"토마스리 ",1,50,4,2,9,0.222,2,6,0.333,"-",3,0.000,"-","-","-",5,6,11,3,5,"-",1,9,"-","-",38,"-",0.3,8.0,0.222,9.0,0.222,2.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,3.0,11.0,1.0,5.0
0,"원유 ",1,41,8,4,11,0.364,4,11,0.364,"-","-","-","-","-","-",5,5,10,3,2,"-","-",5,"-","-",8,"-",0.6,11.0,0.364,11.0,0.364,6.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,3.0,10.0,0.0,2.0
0,"민주 ",1,50,12,3,21,0.143,"-",6,0.000,3,15,0.200,3,3,1.000,"-",9,9,1,"-","-","-",10,"-","-",19,"-",0.1,-6.0,0.214,22.3,0.269,-8.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,12.0,1.0,9.0,0.0,0.0
0,"상수 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"동길 ",1,51,15,7,14,0.500,6,12,0.500,1,2,0.500,"-","-","-",1,4,5,1,2,1,"-",4,"-","-",24,"-",0.2,12.0,0.536,14.0,0.536,8.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,15.0,1.0,5.0,0.0,2.0
0,"덕용 ",1,40,18,6,13,0.462,"-",1,0.000,6,12,0.500,"-","-","-","-",10,10,4,"-",1,"-",6,"-","-",15,"-",0.7,19.0,0.692,13.0,0.692,11.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,18.0,4.0,10.0,0.0,0.0
0,"동희 ",1,41,25,10,24,0.417,5,8,0.625,5,16,0.312,"-","-","-",2,6,8,7,4,1,"-",1,"-","-",29,"-",7.0,29.0,0.521,24.0,0.521,23.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,25.0,7.0,8.0,0.0,4.0
0,"동현 ",1,50,23,10,20,0.500,7,12,0.583,3,8,0.375,"-","-","-",5,13,18,6,7,1,"-",4,"-","-",33,"-",1.5,40.0,0.575,20.0,0.575,27.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,23.0,6.0,18.0,0.0,7.0
0,"종우 ",1,51,12,6,10,0.600,6,10,0.600,"-","-","-","-","-","-",1,4,5,3,1,"-","-",3,"-","-",17,"-",1.0,14.0,0.600,10.0,0.600,9.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,12.0,3.0,5.0,0.0,1.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,117,48,124,0.387,30,68,0.441,18,56,0.321,3,3,1.000,20,68,88,32,22,4,2,44,"-","-",39,"-",0.7,141.0,0.460,125.3,0.467,85.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,117.0,32.0,88.0,2.0,22.0
