"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"제임스 ",1,50,33,15,22,0.682,12,16,0.750,3,6,0.500,"-","-","-",4,10,14,3,1,"-",1,2,"-","-",17,"-",1.5,43.0,0.750,22.0,0.750,31.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,33.0,3.0,14.0,1.0,1.0
0,"민재 ",1,40,8,4,12,0.333,4,8,0.500,"-",4,0.000,"-","-","-",3,1,4,1,2,1,"-",1,"-","-",9,"-",1.0,6.0,0.333,12.0,0.333,5.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,1.0,4.0,0.0,2.0
0,"승호 ",1,11,0,0,2,0.000,"-",1,0.000,"-",1,0.000,"-","-","-","-",1,1,5,"-","-","-",3,"-","-",8,"-",1.7,1.0,0.000,2.0,0.000,-0.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,5.0,1.0,0.0,0.0
0,"제프 ",1,51,24,11,31,0.355,9,21,0.429,2,10,0.200,"-","-","-",2,2,4,5,7,1,1,2,"-","-",22,"-",2.5,19.0,0.387,31.0,0.387,17.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,24.0,5.0,4.0,1.0,7.0
0,"토마스초 ",1,41,0,0,8,0.000,"-","-","-","-",8,0.000,"-","-","-",1,1,2,2,4,3,2,1,"-","-",3,"-",2.0,1.0,0.000,8.0,0.000,1.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,2.0,2.0,2.0,4.0
0,"길현 ",1,40,4,2,9,0.222,2,9,0.222,"-","-","-","-","-","-",5,8,13,1,1,"-",1,"-","-","-",13,"-","-",13.0,0.222,9.0,0.222,6.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,1.0,13.0,1.0,1.0
0,"택용 ",1,31,14,7,20,0.350,7,20,0.350,"-","-","-","-","-","-",6,11,17,1,1,"-","-",3,"-","-","-","-",0.3,17.0,0.350,20.0,0.350,9.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,14.0,1.0,17.0,0.0,1.0
0,"정성우 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"상백 ",1,40,2,1,10,0.100,1,9,0.111,"-",1,0.000,"-","-","-",1,3,4,1,1,"-","-",2,"-","-",3,"-",0.5,-3.0,0.100,10.0,0.100,-3.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,1.0,4.0,0.0,1.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,85,40,114,0.351,35,84,0.417,5,30,0.167,"-","-","-",22,37,59,19,17,5,5,14,"-","-",15,"-",1.4,97.0,0.373,114.0,0.373,67.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,85.0,19.0,59.0,5.0,17.0
