"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"토마스리 ",1,38,0,0,8,0.000,"-",5,0.000,"-",3,0.000,"-","-","-",5,3,8,2,4,"-","-",7,"-","-",-29,"-",0.3,-1.0,0.000,8.0,0.000,-2.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,2.0,8.0,0.0,4.0
0,"원유 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"민주 ",1,40,14,4,18,0.222,2,5,0.400,2,13,0.154,4,4,1.000,"-","-",0,"-","-","-","-",3,"-","-",-19,"-",0.0,-3.0,0.278,19.8,0.354,0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,14.0,0.0,0.0,0.0,0.0
0,"현호 ",1,40,6,3,7,0.429,3,7,0.429,"-","-","-","-","-","-",7,7,14,2,1,1,"-",1,"-","-",-10,"-",2.0,18.0,0.429,7.0,0.429,10.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,2.0,14.0,0.0,1.0
0,"동희 ",1,1,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"덕용 ",1,32,5,2,8,0.250,1,4,0.250,1,4,0.250,"-","-","-",1,6,7,5,"-","-","-",4,"-","-",-14,"-",1.2,7.0,0.312,8.0,0.312,2.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,5.0,5.0,7.0,0.0,0.0
0,"상수 ",1,32,12,6,20,0.300,6,18,0.333,"-",2,0.000,"-","-","-",7,10,17,2,1,"-","-",2,"-","-",-14,"-",1.0,16.0,0.300,20.0,0.300,8.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,12.0,2.0,17.0,0.0,1.0
0,"동현 ",1,41,21,9,21,0.429,6,16,0.375,3,5,0.600,"-","-","-",5,2,7,1,1,"-",1,6,"-","-",-14,"-",0.2,13.0,0.500,21.0,0.500,10.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,21.0,1.0,7.0,1.0,1.0
0,"종우 ",1,29,2,1,7,0.143,1,7,0.143,"-","-","-","-","-","-",1,"-",1,2,"-","-","-",2,"-","-",-20,"-",1.0,-3.0,0.143,7.0,0.143,-2.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,2.0,1.0,0.0,0.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,60,25,89,0.281,19,62,0.306,6,27,0.222,4,4,1.000,26,28,54,14,7,1,1,25,"-","-",-24,"-",0.6,47.0,0.315,90.8,0.331,26.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,60.0,14.0,54.0,1.0,7.0
