team,pts,fgm,fga,pm3,pa3,oreb,dreb,reb,ast,stl,to,wins,series_win,fg_pct,fg3_pct
DK,688,280,838,97,348,170,358,528,172,100,254,26,4,.33412889,.27873564
JJ,696,316,900,64,263,142,282,424,195,188,165,29,4,.35111111,.24334601
