"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"토마스리 ",1,76,12,6,17,0.353,6,12,0.500,"-",5,0.000,"-","-","-",4,11,15,6,5,1,"-",6,"-","-","-","-",1.0,21.0,0.353,17.0,0.353,11.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,12.0,6.0,15.0,0.0,5.0
0,"원유 ",1,76,10,5,14,0.357,5,14,0.357,"-","-","-","-","-","-",6,1,7,2,2,"-","-",2,"-","-",-16,"-",1.0,10.0,0.357,14.0,0.357,8.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,10.0,2.0,7.0,0.0,2.0
0,"민주 ",1,46,23,6,26,0.231,1,4,0.250,5,22,0.227,6,6,1.000,"-",2,2,3,1,"-","-",4,"-","-",-23,"-",0.8,5.0,0.327,28.6,0.402,6.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,23.0,3.0,2.0,0.0,1.0
0,"동일 ",1,60,9,3,14,0.214,"-",6,0.000,3,8,0.375,"-","-","-",2,3,5,4,4,"-","-",6,"-","-",-7,"-",0.7,5.0,0.321,14.0,0.321,3.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,9.0,4.0,5.0,0.0,4.0
0,"동희 ",1,"-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"덕용 ",1,46,14,5,11,0.455,1,2,0.500,4,9,0.444,"-","-","-","-",6,6,3,2,2,2,5,"-","-",6,"-",0.6,16.0,0.636,11.0,0.636,10.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,14.0,3.0,6.0,2.0,2.0
0,"상수 ",1,76,22,9,26,0.346,5,15,0.333,4,11,0.364,"-","-","-",2,19,21,3,3,3,"-",2,"-","-",-20,"-",1.5,30.0,0.423,26.0,0.423,17.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,22.0,3.0,21.0,0.0,3.0
0,"동현 ",1,30,20,9,17,0.529,7,9,0.778,2,8,0.250,"-","-","-",3,5,8,3,2,1,"-",2,"-","-",6,"-",1.5,23.0,0.588,17.0,0.588,17.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,20.0,3.0,8.0,0.0,2.0
0,"종우 ",1,45,0,0,11,0.000,"-",10,0.000,"-",1,0.000,"-","-","-",3,2,5,3,"-","-","-",3,"-","-",-21,"-",1.0,-6.0,0.000,11.0,0.000,-5.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,3.0,5.0,0.0,0.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,110,43,136,0.316,25,72,0.347,18,64,0.281,6,6,1.000,20,49,69,27,19,7,2,30,"-","-",-15,"-",0.9,104.0,0.382,138.6,0.397,70.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,110.0,27.0,69.0,2.0,19.0
