"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"현호 ",1,27,8,4,11,0.364,4,10,0.400,"-",1,0.000,"-","-","-",5,13,18,1,1,5,"-",3,"-","-",-10,"-",0.3,18.0,0.364,11.0,0.364,8.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,1.0,18.0,0.0,1.0
0,"토마스리 ",1,30,2,1,9,0.111,1,8,0.125,"-",1,0.000,"-","-","-",3,5,8,2,2,"-",1,4,"-","-",-13,"-",0.5,3.0,0.111,9.0,0.111,-0.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,2.0,8.0,1.0,2.0
0,"원유 ",1,30,6,3,8,0.375,3,7,0.429,"-",1,0.000,"-","-","-",2,5,7,"-",2,"-","-",3,"-","-",-13,"-",0.0,7.0,0.375,8.0,0.375,3.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,0.0,7.0,0.0,2.0
0,"민주 ",1,22,11,3,14,0.214,1,2,0.500,2,12,0.167,3,3,1.000,1,2,3,1,1,"-","-",3,"-","-",-18,"-",0.3,2.0,0.286,15.3,0.359,2.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,11.0,1.0,3.0,0.0,1.0
0,"상수 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"동희 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"병주 ",1,23,16,6,20,0.300,2,9,0.222,4,11,0.364,"-","-","-",2,"-",2,1,"-",1,"-",4,"-","-",-7,"-",0.2,1.0,0.400,20.0,0.400,2.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,16.0,1.0,2.0,0.0,0.0
0,"종우 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"덕용 ",1,20,6,2,10,0.200,"-",2,0.000,2,8,0.250,"-","-","-",1,8,9,3,2,"-","-",7,"-","-",-4,"-",0.4,5.0,0.300,10.0,0.300,0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,3.0,9.0,0.0,2.0
0,"동현 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,49,19,72,0.264,11,38,0.289,8,34,0.235,3,3,1.000,14,33,47,8,8,6,1,24,"-","-",-13,"-",0.3,36.0,0.319,73.3,0.334,16.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,49.0,8.0,47.0,1.0,8.0
