series,team,name,pts,fgm,fga,pm2,pa2,pm3,pa3,mj_bonus,oreb,dreb,reb,ast,stl,dfl,blk,to,plus_minus,games,wins,totgames,efg,gamescore,tfga,tto,usg
5,JJ,신예찬,14,6,15,4,9,2,6,0,2,7,9,2,3,0,1,4,-3,5,3,9,.46666667,10.5,129,19,.23108108
5,JJ,재성,23,10,22,7,13,3,9,0,2,3,5,8,8,2,0,3,7,6,4,9,.52272725,24.5,129,19,.25337839
5,JJ,정성우,18,8,22,6,16,2,6,0,3,5,8,8,6,2,0,2,0,6,2,9,.40909091,19,129,19,.24324325
5,JJ,제프,20,9,21,7,16,2,5,0,3,6,9,2,2,0,1,2,-4,6,2,9,.47619048,14.9,129,19,.2331081
5,JJ,토마스초,3,1,8,0,2,1,6,0,0,0,0,1,1,2,0,0,-11,5,1,9,.1875,-.5,129,19,.097297296
6,DK,덕용,5,2,8,1,4,1,4,0,1,6,7,5,0,0,0,4,-14,4,1,6,.3125,2.2,89,25,.15789473
6,DK,동현,21,9,21,6,16,3,5,0,5,2,7,1,1,0,1,6,-14,4,1,6,.5,10.4,89,25,.35526314
6,DK,민주,14,4,18,2,5,2,13,4,0,0,0,0,0,0,0,3,-19,5,1,6,.3888889,0,89,25,.22105263
6,DK,상수,12,6,20,6,18,0,2,0,7,10,17,2,1,0,0,2,-14,4,1,6,.30000001,8.6999998,89,25,.28947368
6,DK,종우,2,1,7,1,7,0,0,0,1,0,1,2,0,0,0,2,-20,4,0,6,.14285715,-2.4000001,89,25,.11842106
6,DK,토마스리,0,0,8,0,5,0,3,0,5,3,8,2,4,0,0,7,-29,5,0,6,0,-2.8,89,25,.15789473
6,DK,현호,6,3,7,3,7,0,0,0,7,7,14,2,1,1,0,1,-10,4,1,6,.42857143,10.7,89,25,.10526316
6,JJ,민재,5,2,5,1,3,1,2,0,1,2,3,0,2,1,0,1,5,3,2,6,.5,4.5999999,90,15,.11428571
6,JJ,상백,4,2,8,2,7,0,1,0,0,0,0,2,1,0,0,1,14,4,3,6,.25,.60000002,90,15,.12857144
6,JJ,승호,19,9,24,8,15,1,9,0,1,2,3,6,3,0,0,2,19,5,4,6,.39583334,12.3,90,15,.29714286
6,JJ,정성우,17,7,14,4,9,3,5,0,1,5,6,8,6,0,0,2,24,4,4,6,.60714287,21.799999,90,15,.22857143
6,JJ,제임스,8,4,8,4,7,0,1,0,0,5,5,3,2,1,4,5,24,4,4,6,.5,7.4000001,90,15,.18571429
6,JJ,제프,21,9,20,6,12,3,8,0,2,6,8,7,8,0,0,2,15,5,4,6,.52499998,24.700001,90,15,.25142857
6,JJ,태훈,10,5,11,5,11,0,0,0,4,2,6,3,2,1,0,2,19,5,4,6,.45454547,9.8000002,90,15,.14857143
7,DK,덕용,8,3,13,1,3,2,10,0,2,12,14,7,0,0,1,7,-5,4,2,7,.30769232,3.7,105,36,.24822696
7,DK,동희,30,12,25,6,12,6,13,0,0,3,3,2,2,4,0,2,3,5,3,7,.60000002,19.6,105,36,.26808509
7,DK,민주,25,7,15,3,7,4,8,7,0,1,1,1,2,1,0,6,5,5,3,7,.83333331,14.3,105,36,.20851064
7,DK,상수,13,6,21,5,16,1,5,0,6,6,12,3,1,0,1,5,5,4,2,7,.30952382,5.5,105,36,.32269505
7,DK,원유,4,2,9,2,9,0,0,0,4,1,5,1,1,1,0,4,5,3,2,7,.22222222,-.69999999,105,36,.21513002
7,DK,종우,6,3,8,3,8,0,0,0,1,4,5,2,0,0,0,4,-5,4,2,7,.375,.89999998,105,36,.14893617
7,DK,토마스리,4,2,9,2,7,0,2,0,3,5,8,4,1,5,0,2,0,4,2,7,.22222222,3.9000001,105,36,.13652483
7,DK,현호,0,0,5,0,5,0,0,0,11,15,26,3,2,1,1,6,17,6,4,7,0,7.5,105,36,.091016546
7,JJ,상백,6,3,8,3,7,0,1,0,1,4,5,1,3,0,0,2,5,5,3,7,.375,5.1999998,108,14,.1147541
7,JJ,신예찬,15,6,15,3,7,3,8,0,1,4,5,1,0,0,0,3,-15,6,2,7,.5,6.5,108,14,.17213115
7,JJ,정성우,27,12,24,9,15,3,9,0,3,9,12,12,8,2,1,3,-5,7,3,7,.5625,33.900002,108,14,.22131148
7,JJ,제임스,18,9,23,9,21,0,2,0,5,8,13,9,5,3,2,3,-5,7,3,7,.39130434,21.1,108,14,.21311475
7,JJ,제프,13,6,24,5,16,1,8,0,2,3,5,6,8,4,2,1,10,5,3,7,.27083334,13.5,108,14,.28688523
