"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"현호 ",1,30,0,0,2,0.000,"-",2,0.000,"-","-","-","-","-","-",3,7,10,4,"-","-",3,4,"-","-",1,"-",1.0,11.0,0.000,2.0,0.000,3.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,4.0,10.0,3.0,0.0
0,"토마스리 ",1,30,2,1,8,0.125,1,7,0.143,"-",1,0.000,"-","-","-",4,6,10,"-",1,2,"-",3,"-","-",1,"-",0.0,3.0,0.125,8.0,0.125,-0.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,0.0,10.0,0.0,1.0
0,"원유 ",1,31,0,0,4,0.000,"-",4,0.000,"-","-","-","-","-","-",2,2,4,2,"-","-","-",3,"-","-",-16,"-",0.7,-1.0,0.000,4.0,0.000,-2.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,2.0,4.0,0.0,0.0
0,"민주 ",1,31,14,4,21,0.190,"-",1,0.000,4,20,0.200,2,2,1.000,"-",1,1,3,"-","-","-",5,"-","-",-15,"-",0.6,-4.0,0.286,21.9,0.320,-1.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,14.0,3.0,1.0,0.0,0.0
0,"신예찬 ",1,31,7,3,5,0.600,2,3,0.667,1,2,0.500,"-","-","-",2,2,4,"-","-","-","-",1,"-","-",-16,"-",0.0,8.0,0.700,5.0,0.700,5.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,7.0,0.0,4.0,0.0,0.0
0,"동희 ",1,31,3,1,8,0.125,"-",3,0.000,1,5,0.200,"-","-","-",1,1,2,1,1,"-","-","-","-","-",-16,"-","-",0.0,0.188,8.0,0.188,0.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,3.0,1.0,2.0,0.0,1.0
0,"상수 ",1,30,15,7,19,0.368,6,12,0.500,1,7,0.143,"-","-","-",5,11,16,3,"-",3,"-","-","-","-",1,"-","-",22.0,0.395,19.0,0.395,13.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,15.0,3.0,16.0,0.0,0.0
0,"종우 ",1,30,6,3,11,0.273,3,11,0.273,"-","-","-","-","-","-",2,1,3,3,1,"-","-",2,"-","-","-","-",1.5,3.0,0.273,11.0,0.273,2.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,3.0,3.0,0.0,1.0
0,"병주 ",1,30,17,8,20,0.400,7,14,0.500,1,6,0.167,"-","-","-","-",1,1,3,4,2,"-",3,"-","-",1,"-",1.0,10.0,0.425,20.0,0.425,9.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,17.0,3.0,1.0,0.0,4.0
0,"덕용 ",1,31,6,2,4,0.500,"-","-","-",2,4,0.500,"-","-","-","-",6,6,2,1,"-","-",1,"-","-",-16,"-",2.0,12.0,0.750,4.0,0.750,7.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,2.0,6.0,0.0,1.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,70,29,102,0.284,19,57,0.333,10,45,0.222,2,2,1.000,19,38,57,21,8,7,3,22,"-","-",-15,"-",1.0,64.0,0.333,102.9,0.340,37.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,70.0,21.0,57.0,3.0,8.0
