"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"제프 ",1,50,13,6,24,0.250,5,16,0.312,1,8,0.125,"-","-","-",2,3,5,6,8,4,2,1,"-","-",10,"-",6.0,15.0,0.271,24.0,0.271,13.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,13.0,6.0,5.0,2.0,8.0
0,"제임스 ",1,80,18,9,23,0.391,9,21,0.429,"-",2,0.000,"-","-","-",5,8,13,9,5,3,2,3,"-","-",-5,"-",3.0,30.0,0.391,23.0,0.391,21.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,18.0,9.0,13.0,2.0,5.0
0,"재성 ",1,1,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"신예찬 ",1,59,15,6,15,0.400,3,7,0.429,3,8,0.375,"-","-","-",1,4,5,1,"-","-","-",3,"-","-",-15,"-",0.3,9.0,0.500,15.0,0.500,6.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,15.0,1.0,5.0,0.0,0.0
0,"상백 ",1,62,6,3,8,0.375,3,7,0.429,"-",1,0.000,"-","-","-",1,4,5,1,3,"-","-",2,"-","-",5,"-",0.5,8.0,0.375,8.0,0.375,5.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,1.0,5.0,0.0,3.0
0,"태훈 ",1,70,6,3,14,0.214,3,14,0.214,"-","-","-","-","-","-",5,5,10,1,2,"-","-",2,"-","-",-15,"-",0.5,6.0,0.214,14.0,0.214,3.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,1.0,10.0,0.0,2.0
0,"택용 ",1,1,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"정성우 ",1,80,27,12,24,0.500,9,15,0.600,3,9,0.333,"-","-","-",3,9,12,12,8,2,1,3,"-","-",-5,"-",4.0,45.0,0.562,24.0,0.562,33.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,27.0,12.0,12.0,1.0,8.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,85,39,108,0.361,32,80,0.400,7,28,0.250,"-","-","-",17,33,50,30,26,9,5,14,"-","-",-5,"-",2.1,113.0,0.394,108.0,0.394,83.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,85.0,30.0,50.0,5.0,26.0
