"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"토마스리 ",1,53,4,2,9,0.222,2,7,0.286,"-",2,0.000,"-","-","-",3,5,8,4,1,5,"-",2,"-","-","-","-",2.0,8.0,0.222,9.0,0.222,3.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,4.0,8.0,0.0,1.0
0,"원유 ",1,28,4,2,9,0.222,2,9,0.222,"-","-","-","-","-","-",4,1,5,1,1,1,"-",4,"-","-",5,"-",0.2,0.0,0.222,9.0,0.222,-0.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,1.0,5.0,0.0,1.0
0,"민주 ",1,62,25,7,15,0.467,3,7,0.429,4,8,0.500,7,7,1.000,"-",1,1,1,2,1,"-",6,"-","-",5,"-",0.2,15.0,0.600,18.1,0.691,14.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,25.0,1.0,1.0,0.0,2.0
0,"현호 ",1,69,0,0,5,0.000,"-",5,0.000,"-","-","-","-","-","-",11,15,26,3,2,1,1,6,"-","-",17,"-",0.5,21.0,0.000,5.0,0.000,7.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,3.0,26.0,1.0,2.0
0,"동희 ",1,60,30,12,25,0.480,6,12,0.500,6,13,0.462,"-","-","-","-",3,3,2,2,4,"-",2,"-","-",3,"-",1.0,22.0,0.600,25.0,0.600,19.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,30.0,2.0,3.0,0.0,2.0
0,"덕용 ",1,50,8,3,13,0.231,1,3,0.333,2,10,0.200,"-","-","-",2,12,14,7,"-","-",1,7,"-","-",-5,"-",1.0,13.0,0.308,13.0,0.308,3.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,7.0,14.0,1.0,0.0
0,"상수 ",1,41,13,6,21,0.286,5,16,0.312,1,5,0.200,"-","-","-",6,6,12,3,1,"-",1,5,"-","-",5,"-",0.6,10.0,0.310,21.0,0.310,5.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,13.0,3.0,12.0,1.0,1.0
0,"동현 ",1,1,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"종우 ",1,41,6,3,8,0.375,3,8,0.375,"-","-","-","-","-","-",1,4,5,2,"-","-","-",4,"-","-",-5,"-",0.5,4.0,0.375,8.0,0.375,0.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,6.0,2.0,5.0,0.0,0.0
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,90,35,105,0.333,22,67,0.328,13,38,0.342,7,7,1.000,27,47,74,23,9,12,3,36,"-","-",5,"-",0.6,93.0,0.395,108.1,0.416,54.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,90.0,23.0,74.0,3.0,9.0
