"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"정종  ",1,"-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-",-2,"-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"제프 ",1,2,20,9,21,0.429,7,16,0.438,2,5,0.400,"-","-","-",3,6,9,2,2,"-",1,2,"-","-",-4,"-",1.0,20.0,0.476,21.0,0.476,14.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,20.0,2.0,9.0,1.0,2.0
0,"제임스 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"민재 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"재성 ",1,40,23,10,22,0.455,7,13,0.538,3,9,0.333,"-","-","-",2,3,5,8,8,2,"-",3,"-","-",7,"-",2.7,29.0,0.523,22.0,0.523,24.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,23.0,8.0,5.0,0.0,8.0
0,"승호 ",1,23,26,10,32,0.312,4,13,0.308,6,19,0.316,"-","-","-",1,5,6,4,5,3,1,5,"-","-",-7,"-",0.8,15.0,0.406,32.0,0.406,13.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,26.0,4.0,6.0,1.0,5.0
0,"신예찬 ",1,40,14,6,15,0.400,4,9,0.444,2,6,0.333,"-","-","-",2,7,9,2,3,"-",1,4,"-","-",-3,"-",0.5,16.0,0.467,15.0,0.467,10.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,14.0,2.0,9.0,1.0,3.0
0,"토마스초 ",1,"-",3,1,8,0.125,"-",2,0.000,1,6,0.167,"-","-","-","-","-",0,1,1,2,"-","-","-","-",-11,"-","-",-2.0,0.188,8.0,0.188,-0.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,3.0,1.0,0.0,0.0,1.0
0,"택용 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"태훈 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
